Model,Metric,Value
Basic_nn,RMSE,6.073267342947245
Basic_nn,MAE,4.335298909493952
Basic_nn,MAPE,0.0482924031448176
Basic_nn,R2,0.8043028184379144
Complex_nn,RMSE,6.095166060366259
Complex_nn,MAE,4.263472982018463
Complex_nn,MAPE,0.0462863130637549
Complex_nn,R2,0.8028890016898128
xgb,RMSE,5.765500423289706
xgb,MAE,4.184622651556287
xgb,MAPE,0.0466889361986061
xgb,R2,0.8236344367673205
rf,RMSE,9.37944029806078
rf,MAE,7.502941451812394
rf,MAPE,0.0881223441560758
rf,R2,0.533240012342503
Baseline,RMSE,6.032301370124186
Baseline,MAE,4.340502678883378
Baseline,MAPE,0.047938646828504385
Baseline,R2,0.8069339844022622
